"Núm.","Descrição","Qtd. Comercial","Unid. Comercial","Valor Líquido do Item","Informações Adicionais do Produto","Cód. Produto","Cód. GTIN","Cód. NCM","Código Especificador da Substituição Tributária","CFOP","Valor Unit.","Valor Bruto","Regra de Cálculo","Valor do Desconto","Outras Despesas Acessórias","Rateio do Desconto Sobre Subtotal","Rateio do Acréscimo Sobre Subtotal","Observações Fisco","Origem da Mercadoria","Tributação do ICMS","Cód. de Situação da Operação - Simples Nacional","Alíquota Efetiva","Valor do ICMS","Código de Situação Tributária PIS","Valor da Base de Cálculo do PIS","Alíquota do PIS(%)","Quantidade Vendida PIS","Alíquota do PIS","Valor do PIS","Valor da Base de Cálculo do PIS ST","Alíquota do PIS ST(%)","Quantidade Vendida PIS ST","Alíquota do PIS ST","Valor do PIS ST","Código de Situação Tributária da COFINS","Valor da Base de Cálculo da COFINS","Alíquota da COFINS(%)","Valor da COFINS","Quantidade Vendida COFINS","Alíquota da COFINS","Valor da Base de Cálculo da COFINS ST","Alíquota da COFINS ST(%)","Valor da COFINS ST","Quantidade Vendida COFINS ST","Alíquota da COFINS ST","Valor de Deduções para ISSQN","Valor da Base de Cálculo do ISSQN","Alíquota do ISSQN","Valor do ISSQN","Item da Lista de Serviços","Código do Município do Fato Gerador do ISSQN","Código de Tributação pelo ISSQN do Município","Natureza da Operação de ISSQN","Incentivo Fiscal do ISSQN","Valor Aproximado dos Tributos do Produto ou Serviço – Lei 12741/12"
"1","REFR.SCHWEPPES 350ML CIT","3,0000","UN","8,67","Não Informado","7894900180503","7894900180503","22021000","300700","5405","2,890","8,67","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","04 - Operação Tributável (operação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","04 - Operação Tributável (tributação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","2,84"
"2","CH.BERGG.HOP LAGER 1L","1,0000","UN","13,00","Não Informado","1000000009033","1000000009033","22030000","302100","5405","13,000","13,00","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","04 - Operação Tributável (operação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","04 - Operação Tributável (tributação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","4,62"
"3","CH.KREMER ESCURO 1L","1,0000","UN","12,00","Não Informado","3869","Não Informado","22030000","302300","5405","12,000","12,00","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","04 - Operação Tributável (operação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","04 - Operação Tributável (tributação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","4,26"
"4","CANUDO VALVES 80UN PLAST","1,0000","UN","3,85","Não Informado","7896995738096","7896995738096","39173229","Não Informado","5102","3,850","3,85","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","18,00","0,69","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","3,85","0,0165","Não Informado","Não Informado","0,0600","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","3,85","0,0760","0,29","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,90"
"5","TOALHA PAPEL STYLUS 2UN","1,0000","UN","4,35","Não Informado","7896026800754","7896026800754","48189090","2004700","5405","4,350","4,35","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","4,35","0,0165","Não Informado","Não Informado","0,0700","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","4,35","0,0760","0,33","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,14"
"6","LIMAO TAHITI - O QUILO","0,3550","kg","2,13","Não Informado","187","Não Informado","08055000","Não Informado","5102","5,990","2,13","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","40 - Valor Isento","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,46"
"7","MOST.HEMMER 200g ESCURA","1,0000","UN","6,19","Não Informado","7891031406014","7891031406014","21033021","1703800","5405","6,190","6,19","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","6,19","0,0165","Não Informado","Não Informado","0,1000","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","6,19","0,0760","0,47","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,68"
"8","QUEIJO TIROLEZ GOUDA FOR","0,1300","kg","7,79","Não Informado","709","Não Informado","04069020","1702401","5102","59,900","7,79","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","13,30","1,04","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,25"
"9","QJ.PARM.V.DA CANASTRA kg","0,1900","kg","12,14","Não Informado","3984","Não Informado","04069010","1702400","5102","63,900","12,14","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","18,00","2,19","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,34"
"10","COBERT.DR.OETKER 200g P","1,0000","UN","8,15","Não Informado","7891048014318","7891048014318","21069090","Não Informado","5102","8,150","8,15","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","18,00","1,47","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","8,15","0,0165","Não Informado","Não Informado","0,1300","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","8,15","0,0760","0,62","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,91"
